epoch,train_loss,val_accuracy_a,val_f1_a,val_accuracy_b,val_f1_b
1,0.24207995542839392,0.9893,0.9894860960990469,0.984,0.9836233367451381
2,0.07334582387273118,0.9934,0.9934949733885275,0.9908,0.9905582922824302
3,0.05271874838816459,0.9937,0.9937753186444027,0.9915,0.9912090185127728
4,0.04203909963393199,0.9951,0.9951738402442628,0.993,0.9927820169107032
5,0.03231212348445876,0.9946,0.994679802955665,0.9912,0.9909147222795788
