epoch,val_accuracy_a,val_f1_a,val_accuracy_b,val_f1_b
1,0.9921,0.9922006121038602,0.9856,0.9850560398505604
2,0.9915,0.991631387220636,0.9916,0.9913633559531153
3,0.9949,0.9949738839065734,0.9927,0.9925074412398646
4,0.9948,0.9948808820633983,0.9926,0.9924040238144118
5,0.9952,0.9952681388012619,0.9935,0.9932941297843805
